problem_id,original_src,changed_src,error,stderr,token_similarity,syntax_similarity,semantic_similarity,final_similarity
p02258,"import sys

values = [int(input()) for i in range(int(input()))]
maxv = -sys.maxsize - 1
minv = values[0]

for val in enumerate(values):
    if maxv < (val - minv):
        maxv = val - minv
    if minv > val:
        minv = val
print(maxv)
","n = int(input())
R = [int(input()) for _ in range(n)]
minv, maxv = R[0], R[1] - R[0]
for j in range(1, n):
    maxv = max(maxv, R[j] - minv)
    minv = min(minv, R[j])
print(maxv)
",TypeError: unsupported operand type(s) for -: 'tuple' and 'int',"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02258/Python/s112466969.py"", line 8, in <module>
    if maxv < (val - minv):
TypeError: unsupported operand type(s) for -: 'tuple' and 'int'
",0.32,0.2780058651026393,0.7412389516830444,0.4758973402040096
p02258,"N = int(input())
R = [int(input()) for i in range(N)]

sa = R[N - 1] - R[N - 2]
for i in reversed(range(N)):
    for j in reversed(range(i)):
        tmp = R[i] - R[j]
        if tmp > sa:
            sa = tmp
print(sa)
","N = int(input())
R = [int(input()) for i in range(N)]

min_v = R[0]
max_v = R[1] - R[0]
for i in range(1, len(R)):
    if min_v > R[i - 1]:
        min_v = R[i - 1]
    if max_v < R[i] - min_v:
        max_v = R[i] - min_v
print(max_v)
",TLE,No Error Output,0.56,0.38967485728468604,0.7778717279434204,0.596051148362774
p02268,"# -*- coding: utf-8 -*-

input()
s = set(input().split())
input()
t = set(input().split())
print(int(s & t))
","# -*- coding: utf-8 -*-

input()
s = set(input().split())
input()
t = set(input().split())
print(len(s & t))
","TypeError: int() argument must be a string, a bytes-like object or a real number, not 'set'","Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02268/Python/s343168177.py"", line 7, in <module>
    print(int(s & t))
TypeError: int() argument must be a string, a bytes-like object or a real number, not 'set'
",0.9166666666666666,0.9966405375139977,0.939937949180603,0.9499673409264405
p02268,"def binarySearch(array, key):
    left = 0
    right = len(array)
    while left < right:
        mid = (left + right) / 2
        if key == array[mid]:
            return True
        elif key > array[mid]:
            left = mid + 1
        elif key < array[mid]:
            right = mid
        else:
            print(""ERROR"")
    return False


n = int(input())
s = [int(x) for x in input().split()]
q = int(input())
t = [int(x) for x in input().split()]
a = [x for x in t if binarySearch(s, x)]
print(len(a))
","def binarySearch(array, key):
    left = 0
    right = len(array)
    while left < right:
        mid = int((left + right) / 2)
        if key == array[mid]:
            return True
        elif key > array[mid]:
            left = mid + 1
        elif key < array[mid]:
            right = mid
        else:
            print(""ERROR"")
    return False


n = int(input())
s = [int(x) for x in input().split()]
q = int(input())
t = [int(x) for x in input().split()]
a = [x for x in t if binarySearch(s, x)]
print(len(a))
","TypeError: list indices must be integers or slices, not float","Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02268/Python/s716545650.py"", line 21, in <module>
    a = [x for x in t if binarySearch(s, x)]
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02268/Python/s716545650.py"", line 21, in <listcomp>
    a = [x for x in t if binarySearch(s, x)]
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02268/Python/s716545650.py"", line 6, in binarySearch
    if key == array[mid]:
TypeError: list indices must be integers or slices, not float
",0.9545454545454546,0.9910727795430474,0.9969778656959534,0.9824766165049319
p02274,"n = int(input())
nd = list(map(int, input().split()))
c = 0
for i in range(n):
    m = min(nd)
    index = nd.index(m)
    nd.remove(m)
    c += index
print(c)
","n = int(input())
nlist = list(map(int, input().split()))
W = [0 for i in range(n)]


def M(l, r):  ##l~r-1 까지의 리스트.
    if l + 1 >= r:
        return 0
    elif l + 2 == r:
        if nlist[l] <= nlist[l + 1]:
            return 0
        else:
            nlist[l], nlist[l + 1] = nlist[l + 1], nlist[l]
            return 1
    ##위의 if문으로 (r-l)가 2이하일 경우는 해놓음
    m = (l + r) // 2
    i = l
    j = m
    k = l
    cl = M(l, m)
    cr = M(m, r)
    c = 0
    while i < m and j < r:
        if nlist[i] <= nlist[j]:
            W[k] = nlist[i]  ##l부터 r까지 W에 크기순으로 대입해나감
            k += 1
            i += 1
        else:
            W[k] = nlist[j]  ##일단 W[k]에는 더 작은쪽을 저장하는듯
            k += 1
            j += 1
            c += m - i  ##만약 nlist[i] > nlist[j]라면 i~m-1 까지 반전 하고있기 때문
            ##그러고 더 작은 nlist[j]를 안에 넣는것.
    while i < m:  ##i번째쪽에 더 큰것들이 남았을 경우 (j=r 이 되있는 상황이기에 더 반전수를 늘리지는 않음)
        W[k] = nlist[i]
        k += 1
        i += 1
    while j < r:  ##j쪽에 큰게 남아있는경우도 동일
        W[k] = nlist[j]
        k += 1
        j += 1
    for i in range(l, r):
        nlist[i] = W[i]
    return cl + cr + c


print(M(0, n))
",TLE,No Error Output,0.11320754716981132,0.27097808658471406,0.44528067111968994,0.2933679585742336
p02361,"import sys
import queue


class Dijkstra:
    class Edge:
        def __init__(self, end, cost):
            self.to = end
            self.cost = cost

    def __init__(self, node_size, inf):
        self._node = node_size
        self._graph = [[] for _ in range(self._node)]
        self.inf = inf
        self.dist = [self.inf for _ in range(self._node)]

    def add_edge(self, st, ed, cs):
        self._graph[st].append(self.Edge(ed, cs))

    def solve(self, start):
        que = queue.PriorityQueue()
        self.dist[start] = 0
        que.put((0, start))
        while que:
            cur_cost, cur_vertex = que.get()
            if self.dist[cur_vertex] < cur_cost:
                continue
            for e in self._graph[cur_vertex]:
                if self.dist[e.to] > cur_cost + e.cost:
                    self.dist[e.to] = cur_cost + e.cost
                    que.put((self.dist[e.to], e.to))


if __name__ == ""__main__"":
    V, E, r = map(int, sys.stdin.readline().split())
    dk = Dijkstra(V, 10**10)
    for i in range(E):
        s, t, d = map(int, sys.stdin.readline().split())
        dk.add_edge(s, t, d)
    dk.solve(r)
    for value in dk.dist:
        if value == dk.inf:
            print(""INF"")
        else:
            print(value)
","import sys
import queue


class Dijkstra:
    class Edge:
        def __init__(self, end, cost):
            self.to = end
            self.cost = cost

    def __init__(self, node_size, inf):
        self._node = node_size
        self._graph = [[] for _ in range(self._node)]
        self.inf = inf
        self.dist = [self.inf for _ in range(self._node)]

    def add_edge(self, st, ed, cs):
        self._graph[st].append(self.Edge(ed, cs))

    def solve(self, start):
        que = queue.PriorityQueue()
        self.dist[start] = 0
        que.put((0, start))
        while not que.empty():
            cur_cost, cur_vertex = que.get()
            if self.dist[cur_vertex] < cur_cost:
                continue
            for e in self._graph[cur_vertex]:
                if self.dist[e.to] > cur_cost + e.cost:
                    self.dist[e.to] = cur_cost + e.cost
                    que.put((self.dist[e.to], e.to))


if __name__ == ""__main__"":
    V, E, r = map(int, sys.stdin.readline().split())
    dk = Dijkstra(V, 10**10)
    for i in range(E):
        s, t, d = map(int, sys.stdin.readline().split())
        dk.add_edge(s, t, d)
    dk.solve(r)
    for value in dk.dist:
        if value == dk.inf:
            print(""INF"")
        else:
            print(value)
",TLE,No Error Output,0.9775280898876404,0.9673727947687487,0.9971238374710083,0.9823198003853201
p02379,"import math

x1, y1, x2, y2 = map(int, input().split())
print(f""{math.sqrt((x2-x1)**2+(y2-y1)**2):.8f}"")
","import math

x1, y1, x2, y2 = map(float, input().split())
print(f""{math.sqrt((x2-x1)**2+(y2-y1)**2):.8f}"")
",0,No Error Output,0.9,0.9970845481049563,0.9856387972831726,0.9633808833447559
p02379,"x1, y1, x2, y2 = map(int, input().split())
print(""%.8f"" % (((x2 - x1) ** 2 + (y2 - y1) ** 2)) ** 0.5)
","x1, y1, x2, y2 = map(float, input().split())
print(""%.8f"" % (((x2 - x1) ** 2 + (y2 - y1) ** 2)) ** 0.5)
",0,No Error Output,0.9473684210526315,0.9965909090909091,0.981202244758606,0.9756686969465046
p02379,"# -*- coding: utf-8 -*-

import math

x1, y1, x2, y2 = map(int, input().split())
dis = math.sqrt((x1 + x2) * (x1 + x2) + (y1 + y2) * (y1 + y2))
print(dis)
","# -*- coding: utf-8 -*-

import math

x1, y1, x2, y2 = map(float, input().split())
dis = math.sqrt((x1 - x2) * (x1 - x2) + (y1 - y2) * (y1 - y2))
print(dis)
",0,No Error Output,0.9166666666666666,0.7984014209591475,0.9204927682876587,0.8827175336028077
p02381,"from statistics import pstdev

while True:
    data_count = int(input())
    if data_count == 0:
        break
    print(pstdev(sum(int(x) for x in input().split())))
","from statistics import pstdev

while True:
    data_count = int(input())
    if data_count == 0:
        break
    print(pstdev(int(x) for x in input().split()))
",TypeError: 'int' object is not iterable,"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02381/Python/s197979549.py"", line 6, in <module>
    print(pstdev(sum(int(x) for x in input().split())))
  File ""/usr/lib/python3.10/statistics.py"", line 847, in pstdev
    var = pvariance(data, mu)
  File ""/usr/lib/python3.10/statistics.py"", line 807, in pvariance
    if iter(data) is data:
TypeError: 'int' object is not iterable
",0.8888888888888888,0.7180823345492444,0.9662467241287231,0.8685900566829292
p02381,"# -*- coding: utf-8 -*-

import math

while True:
    n = int(input())

    if n == 0:
        break

    s = list(map(float, input().split()))
    mean = sum(s) / len(s)

    for i in range(len(s)):
        s[i] = (s[i] - sum) * (s[i] - sum)

    variance = sum(s) / len(s)
    stdev = math.sqrt(variance)

    print(stdev)
","# -*- coding: utf-8 -*-

import math

while True:
    n = int(input())

    if n == 0:
        break

    s = list(map(float, input().split()))
    mean = sum(s) / len(s)

    for i in range(len(s)):
        s[i] = (s[i] - mean) * (s[i] - mean)

    variance = sum(s) / len(s)
    stdev = math.sqrt(variance)

    print(stdev)
",TypeError: unsupported operand type(s) for -: 'float' and 'builtin_function_or_method',"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02381/Python/s289178962.py"", line 15, in <module>
    s[i] = (s[i] - sum) * (s[i] - sum)
TypeError: unsupported operand type(s) for -: 'float' and 'builtin_function_or_method'
",0.9714285714285714,0.996800731261426,0.9964871406555176,0.9890636470692062
p02388,"x = input()
print(x**3)
","x = input()
x = int(x)
print(x**3)
",TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int',"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02388/Python/s725747490.py"", line 2, in <module>
    print(x**3)
TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int'
",0.8,0.6480446927374302,0.9599030017852783,0.8183746085353404
p02388,"x = input()
print(x**3)
","x = int(input())
print(x**3)
",TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int',"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02388/Python/s709080194.py"", line 2, in <module>
    print(x**3)
TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int'
",0.75,0.9014084507042254,0.9734371900558472,0.8847974112336064
p02388,"n = input()
print(n * n * n)
","s = input()
n = int(s)
print(n**3)
",TypeError: can't multiply sequence by non-int of type 'str',"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02388/Python/s234463127.py"", line 2, in <module>
    print(n * n * n)
TypeError: can't multiply sequence by non-int of type 'str'
",0.5,0.5673940949935815,0.8589038252830505,0.6637797586112947
p02388,"x = input()
print(x**3)
","x = input()
x = int(x)
print(x**3)
",TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int',"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02388/Python/s056318749.py"", line 3, in <module>
    print(x**3)
TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int'
",0.8,0.6480446927374302,0.9599030017852783,0.8183746085353404
p02388,"num = input()

print(num**3)
","num_str = input()
num = int(num_str)
print(num**3)
",TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int',"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02388/Python/s367615831.py"", line 3, in <module>
    print(num ** 3)
TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int'
",0.6666666666666666,0.6086956521739131,0.9355919361114502,0.756845470096754
p02388,"print(input() ** 3)
","i = int(input())
print(i**3)
",TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int',"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02388/Python/s667447252.py"", line 1, in <module>
    print(input()**3)
TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int'
",0.0,0.41637010676156583,0.8801651000976562,0.47697707206753226
p02388,"input = input()
print(input**3)
","input = input()
print(int(input) ** 3)
",TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int',"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02388/Python/s516531505.py"", line 2, in <module>
    print(input**3)
TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int'
",0.5,0.8702290076335878,0.9721685647964478,0.7999361282086555
p02388,"print(input() ** 3)
","print(int(input()) ** 3)
",TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int',"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02388/Python/s557766359.py"", line 1, in <module>
    print(input()**3)
TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int'
",0.6666666666666666,0.8701030927835052,0.9563276171684265,0.8435619747024221
p02388,"x = input()

print(x**3)
","x = int(input())

print(x**3)
",TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int',"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02388/Python/s482874964.py"", line 3, in <module>
    print(x**3)
TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int'
",0.75,0.9014084507042254,0.9734371900558472,0.8847974112336064
p02388,"print(input() ** 3)
","print(int(input()) ** 3)
",TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int',"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02388/Python/s627402686.py"", line 1, in <module>
    print(input() ** 3)
TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int'
",0.6666666666666666,0.8701030927835052,0.9563276171684265,0.8435619747024221
p02388,"N = input()
print(N**3)
","N = int(input())
print(N**3)
",TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int',"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02388/Python/s645472377.py"", line 2, in <module>
    print(N**3)
TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int'
",0.75,0.9014084507042254,0.9732980728149414,0.8847417643372442
p02388,"x = input()

ans = x * x * x

print(ans)
","x = int(input())

ans = x * x * x

print(ans)
",TypeError: can't multiply sequence by non-int of type 'str',"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02388/Python/s517488440.py"", line 3, in <module>
    ans = x * x * x
TypeError: can't multiply sequence by non-int of type 'str'
",0.8333333333333334,0.3344120819848975,0.9569622278213501,0.7331085157240094
p02388,"x = input()
print(x**3)
","x = int(input())
print(x**3)
",TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int',"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02388/Python/s996581497.py"", line 2, in <module>
    print(x**3)
TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int'
",0.75,0.9014084507042254,0.9734371900558472,0.8847974112336064
p02388,"x = input(())

print(x**3)
","x = int(input())

print(x**3)
",TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int',"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02388/Python/s164445315.py"", line 4, in <module>
    print(x**3)
TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int'
",0.75,0.9052631578947369,0.9713859558105469,0.8851333296926398
p02388,"print(int(input) ** 3)
","print(int(input()) ** 3)
","TypeError: int() argument must be a string, a bytes-like object or a real number, not 'builtin_function_or_method'","Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02388/Python/s322584303.py"", line 1, in <module>
    print(int(input)**3)
TypeError: int() argument must be a string, a bytes-like object or a real number, not 'builtin_function_or_method'
",0.6666666666666666,0.9354207436399217,0.9931290149688721,0.8778778290795253
p02388,"import sys

args = sys.argv

num = int(args[1])
print(str(num**3))
","s = input()
num = int(s)
print(str(num**3))
",IndexError: list index out of range,"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02388/Python/s550015206.py"", line 5, in <module>
    num = int(args[1])
IndexError: list index out of range
",0.375,0.22777777777777777,0.8271405696868896,0.5116895612080892
p02388,"print(input() ** 3)
","print(int(input()) ** 3)
",TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int',"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02388/Python/s376152712.py"", line 1, in <module>
    print(input() ** 3)
TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int'
",0.6666666666666666,0.8701030927835052,0.9563276171684265,0.8435619747024221
p02388,"x = input()

print(x * x * x)
","x = int(input())
print(x * x * x)
",TypeError: can't multiply sequence by non-int of type 'str',"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02388/Python/s272745096.py"", line 3, in <module>
    print(x * x * x)
TypeError: can't multiply sequence by non-int of type 'str'
",0.8333333333333334,0.40522875816993464,0.9651983380317688,0.757647962663688
p02388,"x = input()
print(x**3)
","input_1 = int(input())
cal = (input_1) ** 3
print(cal)
",TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int',"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02388/Python/s257611309.py"", line 2, in <module>
    print(x**3)
TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int'
",0.125,0.4207650273224044,0.8393089175224304,0.49945307520569354
